Job_Link,Unique_ID,Title,Company_Name,Company_Location,Salary
https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPD0bt9JAdjOubXaOlasaA9cSAf68lccJAaPUaYP7D2edPLsDx0ar8uxegptF9gPXGME6AJesxMUTHqOE15RAwenhclyz-theKt0yxrLrIyKvIqhVmKSSHGPg-JRGZavLiFvZvVi9e9TLS906G1t15uAtkKUKTLuiWCuX93unrSLlA2PzeMTcSm710j-POT0QhuZWQQtuqphZk-CGW4mHHV6dh6MjOvby_HbAU0IpWSawWjPWSXxB7zjio-M3KfI_CmLSI0OuPMngQckKGr_J6XR2tiTdGWkSa4Ue0Sh4b7_afPLi8RiObKkBQu7Ht79MCy7-JJFDm6Py3aYbhIlO1HWzWeJeZ2blWCwyuQlRWLXAu7NA2_iW9YRkN8b1Z_271YN0RmCDL2giCoZ7gAy4kCOqZqbKy0MulL704RKys0v8BV-u8Y0Dj1VfkWvrf-j_CEa628t4Xzpjs2iVXiGFEsxZteN9K0iJjG_f6g2rkkC0CMCmdIwbyUUKOSc4hOrwb8F55mtHf8g==&xkcb=SoC1-_M3cXlbdc-n7J0LbzkdCdPP&p=0&fvj=1&vjs=3&tk=1g6nml5a4sp5c801&jsa=6788&oc=1&sal=0,sj_f11971796d62ded9,Data Scientist (Football),Pythia Sports,Temporarily Remote in London SW1V,
https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrVOLqRJ5-yjEjDkpeVLIPLIQ_sEZ4TPaGglu2TtdbWcP4yZjmAT4nNWnwE25xjZQnGkXzVj2KljAcxZJQptfzHRgcd8KRR-42-c3Jbb4UMwQUCmdwSjZQVRCZXQ5khyyAzFUs2_W4T7j6eKqSNFEgfSMpOocaoTYOJn_RuEZnMvrj0GfR0TZxww11J65xC0fRmk3XBNSF6xjvojkzoY1NcsPtM5CWmzY6dIvURP3qjQwuslEsfHIIuo6wLWcX8e6Ndvpqe1c5-yb5oosx36P68LBPszOqf6PiuHdg96VzMjQ3HmURbvQqOfJWbpnMmvpSHCh1A6EJdeC_-qgdJxW7FjHTHR1DxJfIKIxRRueF9hZK25Lry_TZOcZPh9osMkOzeSj59c6JqEnGnbG5ifosAVge6wgxlOow-7hrYg_tp4BhRXf5nufGXd4LkF3kpSurFyAAzo5GPJCsjPVKSc_qBNBw5n49HuKwPPPU2vFN6MGd0BRbELztcrj2kmZDnx1crAQDX-rf1bMC9dsno14zXDM80At656gs7zs4STxtBI3UmlcphWn8q_8oPoebCOVYFtHG0zT9vAeucz0sGl194Z2U27Bfa011bqBx5yb3jLaUDrtsxCWYl3FkbaWhrN9PxqLVMdNXHAw8c1atZrIRscUuqCv2fcB6D4IcsNPOGvNIaKYLmo7tMSxlxUe1YoiKYgpCGSQJRRBFGh3uj9sD4iEi6cias0HIFXlPnpzvMQnUfLvOkLStidKhusckM-S0ZJma9C5XB8oem_1rHmKIc3wGzA66YMy5jTdhLj22i_YyB7lfS8kX0TNfPwx1quSMLjgLJs0RO4MnVsC-3iIVg7JeEZeqNq1K5GCqzcdILxsMpGGxLpfvJViEmK9ss6HnPSiF0OiSRqjpb3yFvFnH4sdp8R29Y6kroibEPq-OSFWNhEzP5KkllkrkyagqsN9D8EYHOb6KrH-UGLxkAaU6Ag=&xkcb=SoBY-_M3cXlbdfen7J0KbzkdCdPP&p=1&fvj=0&vjs=3,sj_08d266e1964215a2,"new
Data Scientist/DE",CarbonLaces,Remote in London,"£40,000 - £50,000 a year"
https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dkf5M1tuNxFnHqfaR82S40qTE41Js2lBkfbKe6rnLaJXvIIhjJ9oLe85OC_CSU6FhmqWoQtn4Q9BFRTXvAxyXKlei-Eel35I2bqaCF4HKDOuDijFE8HwiZGgmC8ZR0ux56NvMta1kNr3hjhcOVQH0ZMb1rxhaIl5Ynud9paKU1QALL-kC5YfMwnPCAMQvWzgbgjyjA0b1M4uhPRbe1MkuaeiDX8buKgFfmWe9vh3vKfNnwWgETkITU4y00HYUIrrOrwKY3ksDBM9Q2IwgZN3fyArUCuXGPdPP5wJm5eltgM9ym6f81fqRpCM5h7hoQR1L015_7FDG30YXNXNe7RoHRxDxe2va0HvjbD-HM83yFBWL5OjIFY2c8JObzfZYd-vhZdhRHbBF3QoY_mhGqB-RLsRbbbg9FKw87mvS8JvGzzQzpTRebOumSUIgDxvOt4naj-h7lU470EA==&xkcb=SoBL-_M3cXlbdfen7J0ObzkdCdPP&p=2&fvj=0&vjs=3,sj_8ba129518f3af6c4,"new
Data Engineer",BP,London EC3N,
https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3ECTu3hDw0vTMaRg9b2LUQlIZ7ZslUf1Ffy6gJe5NyKLwSC5ch1IbhVX5MVE5fPk3P8NjOQsxsy58OoZRB2YKG2D6UwjGoUn0M52Phgreot-zkKeNtruO9GBbwo4pkiVFpRWOMFekjRiLHcfgRpYznJ0yLekC1kuOFCJxcPrMoZ8EbFA1A1cQmDj3sZXVzNdvrNEqv0UVEuo2BQI1ZB6mMyhO1XwgMMhDMpxTTqnaUhFXlGKpdOONIuHB875LRvAi2k9JVRhm2-K_p9MALDWd7k3Sbta3nmKdy5vuj4HSSThpK6jkAUjlByCoseby_2ylsZPMFmZNtBaJNTedKJPHFadCWXZYGBLFZARJuoVBKldgbdmprgcX-6lsRfD7zxT0AuyG-Mmap9-IAvHTUZXbVU-ccJXcxm51qGreIPHAlMMEOv2hbOLcViBdbFwcZtQgrpgtt4NggjiEYSY-q31Z2rwX3Di5eOTR5SC5k94NRFVuquRhV7737WFk8zDzRJxhpD5TdZDYDcFyS7wkJLst6dDtjpv2E66wiXDo5UXkVA==&xkcb=SoAd-_M3cXlbdf-n7J0KbzkdCdPP&p=3&fvj=0&vjs=3,sj_3afcbca9468cfc8c,Data Engineer,ELEXON,London NW1,"£60,000 - £70,000 a year"
https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B4I0z8Vg4C22bXJk453pUE2nnLCUOyY_R-ihB16RDW65dAXO9w17QY8SOm2HP94HpYxTx9AXv23MjOH-10anVIDmeosveLkF-QW3N2L8Mo0d04wq8h_DON5zmZReM3qqtiLwKxInzKjKA2Ids1P_O_9iA-vSz7gvby4GjIhRsiHwClvDTyMxWLkC7pPy3gt_z21QKsB6lNdLgDI1IxF6uKns45qs6PNAPP5aJZe9UxgZUmlrn79IVUraYRmlfSE4nvHy1exzx7uvXBRgZOoJgUAp130x6DFgu3GAdPGMR2TC_Xewv_ftMteTTGH-1ezi684M7plbp1af9yjzm1Eo9Wkosi79td3WD1IrpWqLm18K0sdYspnT62gzzmGaZsdwexsQdN-H7zheF7apKEhlbzv9toSfPHl-eS-iRWz53elyiqNsgat5SK9WAelaNFhkiNri7m1DiYpqCJd7B8GCd2skw9f-EdgvLJbFQSWe8-qJ0prUbJU6xCXlwZ-I7h4hpqWnWfxBu5pcRYRo-UsswVbKv_hNabGj0WvuT2UE_TJXWztd6hx01mtBP-pCJ3Q_ueBNMiZMiyUD_wssdyBNTOYPhkTEQjpCuJtjpfZDgFNQArptoK-Kkt8X86DAlkdMrI8G0FXxxhd3np2lmWsX4EC0BlvETBAgx_GjW-tFwfg6lCJkN-SuEN_eP5wmGIvmE=&xkcb=SoA0-_M3cXlbdf-n7J0IbzkdCdPP&p=4&fvj=0&vjs=3,sj_6759cb8c0a10baa3,Data Scientist,Metrica Recruitment,London,"£50,000 - £70,000 a year"
https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DzwreoEVFOkXRcFH1aYDKs9BsTnM4S4dXogYMNQuxRsWEvU3NmJBXmQipkwYVPqOzuiiBywmCcdqhTNYg8kBp4QEvkReDv08M7jMBz1Lz-hqmMW_zDQgjrC2T9Ym3i-dL-HLneqAauNIrO7FnUnh_-d7rNBnVqR0ujrBlf9ig3EsexiyCDsgUSxB0OGFV70-BtcK3OzSyMSbzXWgi_PpuaSzDxNjjbbIC4dgTXF2qUpxeQvS0x9wl4yDXZX28EidGVE2UeBL_XcZRg-Pv2RqOGcJ1lyVRiL62r3QCqot00LG4cWkdskeMKCemrPwkznzDE3KnKPh7GFvEtoJ7wEjC_Xrg6q3S8s-_UnV9VdjHfRDD4fBXb45iIqquH_9z_V6Oyh8Yh8fcGSvzhPI40VkwgEUQIulNrzd4tTxEFOG8QcWEL4yvyq8ZFAHZKLhtDpvQqHAY9tFd_Op7vDLbCRO-MYoNistxL1NGGI98hntuMR-UBEPk7_KJUlRQzQhWYXbC1nCcvZ2408A==&xkcb=SoAO-_M3cXlbdf-n7J0ObzkdCdPP&p=5&fvj=1&vjs=3,sj_9d45ffb4d482a193,Junior Data Scientist,Inspiring Interns,Remote in London,"£23,000 - £30,000 a year"
https://uk.indeed.com/rc/clk?jk=c2654cc33743a995&fccid=a5b4499d9e91a5c6&vjs=3,job_c2654cc33743a995,"new
Customer Engineer, Data Management",Google,London,
https://uk.indeed.com/rc/clk?jk=9c938feac8ab4108&fccid=9a38205f3259bff6&vjs=3,job_9c938feac8ab4108,"new
Data Surveillance Scientist",UK Health Security Agency,London SW1P,"£32,331 - £39,691 a year"
https://uk.indeed.com/rc/clk?jk=d9af18696a729238&fccid=396f5ba534ee585d&vjs=3,job_d9af18696a729238,Data Scientist,Burberry,London,
https://uk.indeed.com/rc/clk?jk=6e3c68351af4e4b2&fccid=ea43caad0cf3b0a2&vjs=3,job_6e3c68351af4e4b2,Junior Data Scientist,Behold.ai,London,
